"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
"[[25, 2], [288, 2], [566, 5], [1000, 3]]","[[112, 2]]","[[49, 9], [257, 13]]","[[324, 1], [1084, 2]]","[[497, 2]]","[[51, 8], [566, 7], [713, 7]]","[[28, 13]]","[[1084, 7]]","[[74, 9], [324, 7], [784, 12]]","[[76, 8]]","[[64, 12]]","[[51, 3], [292, 3]]",[],[],[],[],[],[]
